Code,Literal,Literal_clean,Literal_norm,code_type,chapter,is_icd10,D_P,Description
O351XX0,655.11,655.11,655.11,diagnosis,O,False,,
6953,Rosacea,Rosacea,rosacea,procedure,6,False,,
V146,Al.lèrgia al metamizol,Al.lèrgia al metamizol,al.lergia al metamizol,diagnosis,V,False,,
3E10X8Z,curas,curas,curas,procedure,3,True,P,"Irrigación de piel y mucosas, con sustancia de irrigación, abordaje externo"
O3663X0,65661,65661,65661,diagnosis,O,True,D,"Atención materna por crecimiento fetal excesivo, tercer trimestre, no aplicable o no especificado"
R630,Síndrome constitucional,Síndrome constitucional,sindrome constitucional,diagnosis,R,True,D,Anorexia
K226,Mallory-Weiss,Mallory-Weiss,mallory-weiss,diagnosis,K,True,D,Síndrome de desgarro-hemorragia gastroesofágico
Z85828,Historia de CARCINOMA BASOCELULAR EN MEJILLA IZQUIERDA,Historia de CARCINOMA BASOCELULAR EN MEJILLA IZQUIERDA,historia de carcinoma basocelular en mejilla izquierda,diagnosis,Z,True,D,Historia personal de otras neoplasias malignas de piel
0UT64ZZ,Salpinguectomía geu izq lap,Salpinguectomía geu izq lap,salpinguectomia geu izq lap,procedure,0,True,P,"Resección de trompa de falopio, izquierda, abordaje endoscópico percutáneo"
W1840XA,torcedura,torcedura,torcedura,diagnosis,W,True,D,"Resbalón, tropiezo y traspié sin caída, no especificado, contacto inicial"
BY4FZZZ,Ecografía obstétrica,Ecografía obstétrica,ecografia obstetrica,diagnosis,B,True,P,"Ecografía de tercer trimestre, feto único"
3897,Sordomudo,Sordomudo,sordomudo,procedure,3,False,,
V1254,Ictus isquémico h,Ictus isquémico h,ictus isquemico h,diagnosis,V,False,,
C782,mtx PLEURAL,mtx PLEURAL,mtx pleural,diagnosis,C,True,D,Neoplasia maligna secundaria de pleura
O034,O03.4,O03.4,o03.4,diagnosis,O,True,D,Aborto espontáneo incompleto sin complicaciones
H5501,nistagmus congénito,nistagmus congénito,nistagmus congenito,diagnosis,H,True,D,Nistagmo congénito
C679,tm vesical,tm vesical,tm vesical,diagnosis,C,True,D,"Neoplasia maligna de vejiga, no especificada"
E781,Hipertrigliciridemia,Hipertrigliciridemia,hipertrigliciridemia,diagnosis,E,True,D,Hipergliceridemia pura
0SBC4ZZ,Meniscectomia derecha,Meniscectomia derecha,meniscectomia derecha,procedure,0,True,P,"Escisión de articulación rodilla, derecha, abordaje endoscópico percutáneo"
F1120,metadona,metadona,metadona,diagnosis,F,True,D,"Dependencia de opiáceos, sin complicaciones"
Z3A34,Vaginoitis parto,Vaginoitis parto,vaginoitis parto,diagnosis,Z,True,D,34 semanas de gestación
2169,turbinectomía bilateral,turbinectomía bilateral,turbinectomia bilateral,procedure,2,False,,
I509,HTA ERC icc,HTA ERC icc,hta erc icc,diagnosis,I,True,D,"Insuficiencia cardiaca, no especificada"
R109,Dolor abdolminal,Dolor abdolminal,dolor abdolminal,diagnosis,R,True,D,Dolor abdominal no especificado
G5600,S. tunel carpiano,S. tunel carpiano,s. tunel carpiano,diagnosis,G,True,D,"Síndrome del túnel carpiano, extremidad superior no especificada"
R233,petequias,petequias,petequias,diagnosis,R,True,D,Equimosis espontánea
C50912,CDI de mama izquieda,CDI de mama izquieda,cdi de mama izquieda,diagnosis,C,True,D,Neoplasia maligna de localización no especificada de mama femenina izquierda
47833,Parálisis cuerdas vocales,Parálisis cuerdas vocales,paralisis cuerdas vocales,procedure,4,False,,
1629,Adenocarcinoma pulmonar,Adenocarcinoma pulmonar,adenocarcinoma pulmonar,procedure,1,False,,
O480,40 partos,40 partos,40 partos,diagnosis,O,True,D,Embarazo postérmino
0UL70ZZ,ligadura tubárica,ligadura tubárica,ligadura tubarica,procedure,0,True,P,"Oclusión de trompas de falopio, bilateral, abordaje abierto"
V1083,Carcinoma basocelular historia,Carcinoma basocelular historia,carcinoma basocelular historia,diagnosis,V,False,,
O1494,preeclampsia,preeclampsia,preeclampsia,diagnosis,O,True,D,"Preeclampsia no especificada, que complica el parto"
3E033GC,Amchafibrin,Amchafibrin,amchafibrin,procedure,3,True,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo"
30928,Trastorno adaptativo ansioso- depresivo,Trastorno adaptativo ansioso- depresivo,trastorno adaptativo ansioso- depresivo,procedure,3,False,,
88103,mixofibrosarcoma,mixofibrosarcoma,mixofibrosarcoma,procedure,8,False,,
64893,Migraña anteparto,Migraña anteparto,migrana anteparto,procedure,6,False,,
N189,Hipertensió Malaltia renal crònica,Hipertensió Malaltia renal crònica,hipertensio malaltia renal cronica,diagnosis,N,True,D,"Enfermedad renal crónica, no especificada"
O99891,hernia discal parto,hernia discal parto,hernia discal parto,diagnosis,O,True,D,Otras enfermedades y afecciones especificadas que complican el embarazo
47822,absceso parafaringeo,absceso parafaringeo,absceso parafaringeo,procedure,4,False,,
Z3A40,40+1 SEMANAS,40+1 SEMANAS,40+1 semanas,diagnosis,Z,True,D,40 semanas de gestación
10T24ZZ,SALPINGUECTOMÍA geu IZQ lap,SALPINGUECTOMÍA geu IZQ lap,salpinguectomia geu izq lap,procedure,1,True,P,"Resección de productos de la concepción, ectópicos, abordaje endoscópico percutáneo"
Z372,gemelos vivos,gemelos vivos,gemelos vivos,diagnosis,Z,True,D,"Gemelos, ambos nacidos vivos"
P369,Sepsis Neonatal,Sepsis Neonatal,sepsis neonatal,diagnosis,P,True,D,"Sepsis bacteriana del recién nacido, no especificada"
25514,HiperaldosteronismO secundario,HiperaldosteronismO secundario,hiperaldosteronismo secundario,procedure,2,False,,
S82891A,FRACTURA DE TOBILLO DERECHO,FRACTURA DE TOBILLO DERECHO,fractura de tobillo derecho,diagnosis,S,True,D,"Otra fractura de pierna derecha, contacto inicial por fractura cerrada"
4871,Sindrome gripal,Sindrome gripal,sindrome gripal,procedure,4,False,,
Z3A30,fumadora parto,fumadora parto,fumadora parto,diagnosis,Z,True,D,30 semanas de gestación
Z6710,Grupo sanguíneo: A Positivo,Grupo sanguíneo: A Positivo,grupo sanguineo: a positivo,diagnosis,Z,True,D,"Grupo sanguíneo A, Rh positivo"
2869,ALTERACIÓN DE LA COAGULACIÓN,ALTERACIÓN DE LA COAGULACIÓN,alteracion de la coagulacion,procedure,2,False,,
V1506,Alergia parietaria,Alergia parietaria,alergia parietaria,diagnosis,V,False,,
O3663X0,feto macrosómico,feto macrosómico,feto macrosomico,diagnosis,O,True,D,"Atención materna por crecimiento fetal excesivo, tercer trimestre, no aplicable o no especificado"
62211,CIN 1,CIN 1,cin 1,procedure,6,False,,
H8110,Vertigo paroxistico benigno,Vertigo paroxistico benigno,vertigo paroxistico benigno,diagnosis,H,True,D,"Vértigo paroxístico benigno, oído no especificado"
Z370,FETO,FETO,feto,diagnosis,Z,True,D,Nacido vivo único
64891,SGB  2,SGB 2,sgb 2,procedure,6,False,,
BW40ZZZ,ecografía abd,ecografía abd,ecografia abd,diagnosis,B,True,P,Ecografía de abdomen
0T9480Z,doble j izq,doble j izq,doble j izq,procedure,0,True,P,"Drenaje en pelvis renal, izquierda, con dispositivo de drenaje, abordaje orificio natural o artificial, endoscópico"
85003,CDI,CDI,cdi,procedure,8,False,,
N979,Esterilidad primaria,Esterilidad primaria,esterilidad primaria,diagnosis,N,True,D,"Infertilidad femenina, no especificada"
Q675,escoliosis congenita,escoliosis congenita,escoliosis congenita,diagnosis,Q,True,D,Deformidad congénita de la columna vertebral
D563,Rasgo talasémico part,Rasgo talasémico part,rasgo talasemico part,diagnosis,D,True,D,Talasemia menor
BW40ZZZ,EcoAbd,EcoAbd,ecoabd,diagnosis,B,True,P,Ecografía de abdomen
F419,ansiedad parto,ansiedad parto,ansiedad parto,diagnosis,F,True,D,"Trastorno de ansiedad, no especificado"
O23513,Cultivos endocervicales,Cultivos endocervicales,cultivos endocervicales,diagnosis,O,True,D,"Infecciones del cuello uterino en el embarazo, tercer trimestre"
R233,petequial,petequial,petequial,diagnosis,R,True,D,Equimosis espontánea
A419,xoc sèptic,xoc sèptic,xoc septic,diagnosis,A,True,D,"Sepsis, microorganismo no especificado"
O99314,cannabis part,cannabis part,cannabis part,diagnosis,O,True,D,Consumo de alcohol que complica el parto
88500,lipoma,lipoma,lipoma,procedure,8,False,,
Z87891,: Ex-fumadora,: Ex-fumadora,: ex-fumadora,diagnosis,Z,True,D,Historia personal de dependencia a nicotina
N871,CIN II,CIN II,cin ii,diagnosis,N,True,D,Displasia cervical moderada
36846,hemianopsia,hemianopsia,hemianopsia,procedure,3,False,,
6289,esterilidad primaria,esterilidad primaria,esterilidad primaria,procedure,6,False,,
51889,Neumopatía crónica,Neumopatía crónica,neumopatia cronica,procedure,5,False,,
F419,Mioma parto,Mioma parto,mioma parto,diagnosis,F,True,D,"Trastorno de ansiedad, no especificado"
L52,Eritema nodoso part,Eritema nodoso part,eritema nodoso part,diagnosis,L,True,D,Eritema nodoso
Z880,Alergias a penicilinas,Alergias a penicilinas,alergias a penicilinas,diagnosis,Z,True,D,Estado de alergia a penicilina
E739,intolerancia Lactosa parto,intolerancia Lactosa parto,intolerancia lactosa parto,diagnosis,E,True,D,"Intolerancia a lactosa, no especificada"
Z7901,Xarelto,Xarelto,xarelto,diagnosis,Z,True,D,Uso prolongado (actual) de anticoagulantes
78343,retraso estatura,retraso estatura,retraso estatura,procedure,7,False,,
N200,Fumadora part,Fumadora part,fumadora part,diagnosis,N,True,D,Cálculo del riñón
O9902,talassemia minor part,talassemia minor part,talassemia minor part,diagnosis,O,True,D,Anemia que complica el parto
I728,ANEURISMA ARTERIA ESPLÉNICA,ANEURISMA ARTERIA ESPLÉNICA,aneurisma arteria esplenica,diagnosis,I,True,D,Aneurisma de otras arterias especificadas
4660,Bronquitis,Bronquitis,bronquitis,procedure,4,False,,
99811,sangrado postoperatorio,sangrado postoperatorio,sangrado postoperatorio,procedure,9,False,,
Z8739,v13.59,v13.59,v13.59,diagnosis,Z,True,D,Historia personal de otras enfermedades del sistema osteomuscular y del tejido conjuntivo
Z940,HTA irc 6,HTA irc 6,hta irc 6,diagnosis,Z,True,D,Estado de trasplante renal
Y95,neumonia nosocomial,neumonia nosocomial,neumonia nosocomial,diagnosis,Y,True,D,Afección nosocomial
K900,celiaquía parto,celiaquía parto,celiaquia parto,diagnosis,K,True,D,Enfermedad celíaca
Z886,Alergia a Pirazolonas,Alergia a Pirazolonas,alergia a pirazolonas,diagnosis,Z,True,D,Estado de alergia a analgésico
283,adenoamigdalectomia,adenoamigdalectomia,adenoamigdalectomia,procedure,2,False,,
Z91419,Historia de Maltractament,Historia de Maltractament,historia de maltractament,diagnosis,Z,True,D,Historia personal de maltrato en adulto no especificado
0WQFXZZ,0wqfxzz,0wqfxzz,0wqfxzz,procedure,0,True,P,"Reparación de pared abdominal, abordaje externo"
V148,Alergia OMEPRAZOL,Alergia OMEPRAZOL,alergia omeprazol,diagnosis,V,False,,
O3403,útero septo parto,útero septo parto,utero septo parto,diagnosis,O,True,D,"Atención materna por malformación congénita del útero no especificada, tercer trimestre"
4A0FX3Z,Electromiografía,Electromiografía,electromiografia,procedure,4,True,P,"Medición de contractilidad, músculo esquelético, abordaje externo"
Z6710,Grupo sanguineo: A+,Grupo sanguineo: A+,grupo sanguineo: a+,diagnosis,Z,True,D,"Grupo sanguíneo A, Rh positivo"
M47896,espondilolisis lumbar,espondilolisis lumbar,espondilolisis lumbar,diagnosis,M,True,D,"Otros tipos de espondilosis, región lumbar"
3E033GC,hierro iv,hierro iv,hierro iv,procedure,3,True,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo"
G8929,Dolor crónico,Dolor crónico,dolor cronico,diagnosis,G,True,D,Otro dolor crónico
1963,mtx axila,mtx axila,mtx axila,procedure,1,False,,
4280,insuficiencia cardíaca,insuficiencia cardíaca,insuficiencia cardiaca,procedure,4,False,,
M545,lumbalgias,lumbalgias,lumbalgias,diagnosis,M,True,D,Dolor en la parte inferior de la espalda
D500,Anemia ferropénica por pérdidas digestivas,Anemia ferropénica por pérdidas digestivas,anemia ferropenica por perdidas digestivas,diagnosis,D,True,D,Anemia ferropénica secundaria a pérdida de sangre (crónica)
Z6740,GS O Rh (+),GS O Rh (+),gs o rh (+),diagnosis,Z,True,D,"Grupo sanguíneo O, Rh positivo"
0HQ9XZZ,Desgarro I.,Desgarro I.,desgarro i.,procedure,0,True,P,"Reparación de piel, perineo, abordaje externo"
E211,HIPERPARATIROIDISMO SECUNDARIO,HIPERPARATIROIDISMO SECUNDARIO,hiperparatiroidismo secundario,diagnosis,E,True,D,"Hiperparatiroidismo secundario, no clasificado bajo otro concepto"
Z6730,Grupo Sanguíneo Materno: AB,Grupo Sanguíneo Materno: AB,grupo sanguineo materno: ab,diagnosis,Z,True,D,"Grupo sanguíneo AB, Rh positivo"
C50919,neoplasia de mama,neoplasia de mama,neoplasia de mama,diagnosis,C,True,D,"Neoplasia maligna de localización no especificada de mama femenina, lado no especificado"
9923,corticoteràpia,corticoteràpia,corticoterapia,procedure,9,False,,
B030ZZZ,rmn cerebro,rmn cerebro,rmn cerebro,diagnosis,B,True,P,Imagen por resonancia magnética (rm) de cerebro
0VT34ZZ,cistectomía radical laparoscopica,cistectomía radical laparoscopica,cistectomia radical laparoscopica,procedure,0,True,P,"Resección de vesículas seminales, bilateral, abordaje endoscópico percutáneo"
D62,anemia post-quirúrgica,anemia post-quirúrgica,anemia post-quirurgica,diagnosis,D,True,D,Anemia poshemorrágica aguda
5349,herniorrafia umbilical,herniorrafia umbilical,herniorrafia umbilical,procedure,5,False,,
H2589,CATARATA MADURA EN O.I.,CATARATA MADURA EN O.I.,catarata madura en o.i.,diagnosis,H,True,D,Otros tipos de catarata relacionada con edad
3240,Empiema cerebral,Empiema cerebral,empiema cerebral,procedure,3,False,,
3E0S3GC,parche hemático,parche hemático,parche hematico,procedure,3,True,P,"Introducción en espacio epidural de otra sustancia terapéutica, otra sustancia, abordaje percutáneo"
F919,ALTERACIÓ DEL COMPORTAMENT,ALTERACIÓ DEL COMPORTAMENT,alteracio del comportament,diagnosis,F,True,D,"Trastorno de conducta, no especificado"
N751,Absceso glándula Bartholino izquierda,Absceso glándula Bartholino izquierda,absceso glandula bartholino izquierda,diagnosis,N,True,D,Absceso de la glándula de Bartolino
0UQMXZZ,Laceración en labio,Laceración en labio,laceracion en labio,procedure,0,True,P,"Reparación de vulva, abordaje externo"
0UT70ZZ,doble ANEXECTOMÍA,doble ANEXECTOMÍA,doble anexectomia,procedure,0,True,P,"Resección de trompas de falopio, bilateral, abordaje abierto"
49390,bronquitis asmatica,bronquitis asmatica,bronquitis asmatica,procedure,4,False,,
0T9480Z,doble j izquierdo,doble j izquierdo,doble j izquierdo,procedure,0,True,P,"Drenaje en pelvis renal, izquierda, con dispositivo de drenaje, abordaje orificio natural o artificial, endoscópico"
V272,rn 2,rn 2,rn 2,diagnosis,V,True,D,Motociclista no especificado lesionado en colisión con objeto fijo o estacionado en un accidente no de tráfico
Z6740,Grupo sanguíneo: O rh positivo,Grupo sanguíneo: O rh positivo,grupo sanguineo: o rh positivo,diagnosis,Z,True,D,"Grupo sanguíneo O, Rh positivo"
F314,F31.4,F31.4,f31.4,diagnosis,F,True,D,"Trastorno bipolar, episodio actual depresivo, grave, sin rasgos psicóticos"
O99284,hipotiroïdisme part,hipotiroïdisme part,hipotiroidisme part,diagnosis,O,True,D,"Enfermedades endocrinas, nutricionales y metabólicas que complican el parto"
F329,Depresion parto,Depresion parto,depresion parto,diagnosis,F,True,D,"Trastorno depresivo mayor, episodio único, no especificado"
O9962,hernia de hiato part,hernia de hiato part,hernia de hiato part,diagnosis,O,True,D,Enfermedades del aparato digestivo que complican el parto
G500,Neuralgia trigemino parto,Neuralgia trigemino parto,neuralgia trigemino parto,diagnosis,G,True,D,Neuralgia del trigémino
O925,inhibicion de lactancia,inhibicion de lactancia,inhibicion de lactancia,diagnosis,O,True,D,Lactancia suprimida
8893,RM  espinal,RM espinal,rm espinal,procedure,8,False,,
O3403,útero septo part,útero septo part,utero septo part,diagnosis,O,True,D,"Atención materna por malformación congénita del útero no especificada, tercer trimestre"
2900,Demencia,Demencia,demencia,procedure,2,False,,
R32,incontinencia de orina,incontinencia de orina,incontinencia de orina,diagnosis,R,True,D,Incontinencia urinaria no especificada
V142,Alergia a Sulfamidas,Alergia a Sulfamidas,alergia a sulfamidas,diagnosis,V,True,D,Ciclista no especificado lesionado en colisión con vehículo de transporte pesado o autobús en un accidente no de tráfico
T24212A,Quemadura 2 muslo izquierdo,Quemadura 2 muslo izquierdo,quemadura 2 muslo izquierdo,diagnosis,T,True,D,"Quemadura de segundo grado de muslo izquierdo, contacto inicial"
O745,cefalea dural posparto,cefalea dural posparto,cefalea dural posparto,diagnosis,O,True,D,Cefalea inducida por anestesia espinal y epidural durante el trabajo de parto y parto
V1083,carcinoma basocelular historia,carcinoma basocelular historia,carcinoma basocelular historia,diagnosis,V,False,,
Z853,Historia de carcinoma de mama,Historia de carcinoma de mama,historia de carcinoma de mama,diagnosis,Z,True,D,Historia personal de neoplasia maligna de mama
N809,Endometriosis,Endometriosis,endometriosis,diagnosis,N,True,D,"Endometriosis, no especificada"
I890,linfedemas,linfedemas,linfedemas,diagnosis,I,True,D,"Linfedema, no clasificado bajo otro concepto"
C50912,NEOPLASIA MALIGNA DE MAMA IZQUIERDA,NEOPLASIA MALIGNA DE MAMA IZQUIERDA,neoplasia maligna de mama izquierda,diagnosis,C,True,D,Neoplasia maligna de localización no especificada de mama femenina izquierda
D696,Plaquetopenia part,Plaquetopenia part,plaquetopenia part,diagnosis,D,True,D,Trombocitopenia no especificada
V1302,ITUS repetición,ITUS repetición,itus repeticion,diagnosis,V,False,,
G43109,Migrañas con aura parto,Migrañas con aura parto,migranas con aura parto,diagnosis,G,True,D,"Migraña con aura, no intratable, sin estatus migrañoso"
3E0F7SF,Oxígenoterapia,Oxígenoterapia,oxigenoterapia,procedure,3,True,P,"Introducción en tracto respiratorio de gas, otro gas, abordaje orificio natural o artificial"
I110,HTA insuficiencia cardiaca,HTA insuficiencia cardiaca,hta insuficiencia cardiaca,diagnosis,I,True,D,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca
64761,hepatitis C parto,hepatitis C parto,hepatitis c parto,procedure,6,False,,
C541,Carcinoma de endometrio,Carcinoma de endometrio,carcinoma de endometrio,diagnosis,C,True,D,Neoplasia maligna de endometrio
0QSQ04Z,Akin pie derecho,Akin pie derecho,akin pie derecho,procedure,0,True,P,"Reposición de falange dedo pie, derecho con dispositivo de fijación interna, abordaje abierto"
5718,atetosis hepática,atetosis hepática,atetosis hepatica,procedure,5,False,,
57511,colecistitis cronica,colecistitis cronica,colecistitis cronica,procedure,5,False,,
O34219,cesárea anterior,cesárea anterior,cesarea anterior,diagnosis,O,True,D,Atención materna por cicatriz de tipo no especificado de cesárea anterior
Z884,Alergia lidocaina,Alergia lidocaina,alergia lidocaina,diagnosis,Z,True,D,Estado de alergia a anestésico
B852,Pediculosi,Pediculosi,pediculosi,diagnosis,B,True,D,"Pediculosis, no especificada"
K115,Litiasis submaxilar izquierda,Litiasis submaxilar izquierda,litiasis submaxilar izquierda,diagnosis,K,True,D,Sialolitiasis
L22,Dermatitis del pañal,Dermatitis del pañal,dermatitis del panal,diagnosis,L,True,D,Dermatitis del pañal
9921,Antibioteràpia,Antibioteràpia,antibioterapia,procedure,9,False,,
Z888,v14.8,v14.8,v14.8,diagnosis,Z,True,D,"Estado de alergia a otros fármacos, medicamentos y sustancias biológicas"
O99314,Alcohol parto,Alcohol parto,alcohol parto,diagnosis,O,True,D,Consumo de alcohol que complica el parto
BY4CZZZ,Ecografía 2,Ecografía 2,ecografia 2,diagnosis,B,True,P,"Ecografía de segundo trimestre, feto único"
4011,biopsia de gangli,biopsia de gangli,biopsia de gangli,procedure,4,False,,
B977,hpv,hpv,hpv,diagnosis,B,True,D,Papilomavirus como causa de enfermedades clasificadas bajo otro concepto
28800,neutropenia,neutropenia,neutropenia,procedure,2,False,,
0UT90ZZ,histerectomía total abd,histerectomía total abd,histerectomia total abd,procedure,0,True,P,"Resección de útero, abordaje abierto"
0HBU0ZZ,TUMORECTOMIA MAMA IZQUIERDA,TUMORECTOMIA MAMA IZQUIERDA,tumorectomia mama izquierda,procedure,0,True,P,"Escisión de mama, izquierda, abordaje abierto"
O4202,rotura espontanea de membranas 1,rotura espontanea de membranas 1,rotura espontanea de membranas 1,diagnosis,O,True,D,"Rotura prematura de membranas a término, inicio del trabajo de parto en las primeras 24 horas de la rotura"
O720,retención de restos placentarios,retención de restos placentarios,retencion de restos placentarios,diagnosis,O,True,D,Hemorragia del tercer período del parto
10D17Z9,Extracción manual de placenta.,Extracción manual de placenta.,extraccion manual de placenta.,procedure,1,True,P,"Extracción de productos de la concepción, retenidos, manual, abordaje orificio natural o artificial"
9923,Corticoteràpia,Corticoteràpia,corticoterapia,procedure,9,False,,
N739,epi,epi,epi,diagnosis,N,True,D,"Enfermedad inflamatoria pélvica femenina, no especificada"
7856,adenopatías,adenopatías,adenopatias,procedure,7,False,,
65101,gestación gemelos,gestación gemelos,gestacion gemelos,procedure,6,False,,
E9689,agresion,agresion,agresion,diagnosis,E,False,,
K5900,restreñimiento,restreñimiento,restrenimiento,diagnosis,K,True,D,"Estreñimiento, no especificado"
E1122,nefropatia dm,nefropatia dm,nefropatia dm,diagnosis,E,True,D,Diabetes mellitus tipo 2 con nefropatía diabética crónica
E739,lactosa,lactosa,lactosa,diagnosis,E,True,D,"Intolerancia a lactosa, no especificada"
J159,Pneumònia bacteriana no especificada,Pneumònia bacteriana no especificada,pneumonia bacteriana no especificada,diagnosis,J,True,D,Neumonía bacteriana no especificada
N838,Quiste paratubárico,Quiste paratubárico,quiste paratubarico,diagnosis,N,True,D,"Otros trastornos no inflamatorios de ovario, trompa de Falopio y ligamento ancho"
751,Amniocentesi,Amniocentesi,amniocentesi,procedure,7,False,,
8E0W4CZ,laparoscopia asistida por robot,laparoscopia asistida por robot,laparoscopia asistida por robot,procedure,8,True,P,"Otros procedimientos en región del tronco, procedimiento asistido robótico, abordaje endoscópico percutáneo"
Z981,artrodesi,artrodesi,artrodesi,diagnosis,Z,True,D,Estado de artrodesis
81203,NEOPLASIA UROTELIAL,NEOPLASIA UROTELIAL,neoplasia urotelial,procedure,8,False,,
C679,neoplasia vesical,neoplasia vesical,neoplasia vesical,diagnosis,C,True,D,"Neoplasia maligna de vejiga, no especificada"
42830,Disfunción diastólica,Disfunción diastólica,disfuncion diastolica,procedure,4,False,,
Z6720,Grupo sanguíneo materno B positivo,Grupo sanguíneo materno B positivo,grupo sanguineo materno b positivo,diagnosis,Z,True,D,"Grupo sanguíneo B, Rh positivo"
M5430,Ciatica,Ciatica,ciatica,diagnosis,M,True,D,"Ciática, lado no especificado"
2859,Anèmia,Anèmia,anemia,procedure,2,False,,
O9952,rinitis alergica parto,rinitis alergica parto,rinitis alergica parto,diagnosis,O,True,D,Enfermedades del aparato respiratorio que complican el parto
05319,Neuralgia postherpética,Neuralgia postherpética,neuralgia postherpetica,procedure,0,False,,
R509,fiabre,fiabre,fiabre,diagnosis,R,True,D,"Fiebre, no especificada"
O99613,gea 3t,gea 3t,gea 3t,diagnosis,O,True,D,"Enfermedades del aparato digestivo que complican el embarazo, tercer trimestre"
BW40ZZZ,Eco abd,Eco abd,eco abd,diagnosis,B,True,P,Ecografía de abdomen
433,Piloromiotomía extramucosa,Piloromiotomía extramucosa,piloromiotomia extramucosa,procedure,4,False,,
Z9221,Quimioterapia,Quimioterapia,quimioterapia,diagnosis,Z,True,D,Historia personal de quimioterapia antineoplásica
B020ZZZ,TAC CRANEAL,TAC CRANEAL,tac craneal,diagnosis,B,True,P,Tomografía computarizada (scanner tc) de cerebro
R197,diarrea,diarrea,diarrea,diagnosis,R,True,D,"Diarrea, no especificada"
V8801,HT,HT,ht,diagnosis,V,False,,
6208,quiste tubarico,quiste tubarico,quiste tubarico,procedure,6,False,,
N751,Absceso glándula Bartholino,Absceso glándula Bartholino,absceso glandula bartholino,diagnosis,N,True,D,Absceso de la glándula de Bartolino
E041,Quistes tiroideos parto,Quistes tiroideos parto,quistes tiroideos parto,diagnosis,E,True,D,Nódulo tiroideo único no tóxico
T8613,Pielonefritis del injerto,Pielonefritis del injerto,pielonefritis del injerto,diagnosis,T,True,D,Infección de riñón trasplantado
1474,VPP,VPP,vpp,procedure,1,False,,
E785,dl,dl,dl,diagnosis,E,True,D,"Hiperlipidemia, no especificada"
O30043,gemelar BC/BA,gemelar BC/BA,gemelar bc/ba,diagnosis,O,True,D,"Embarazo gemelar dicoriónico/ diamniótico, tercer trimestre"
K766,HIPERTENSIÓN PORTAL,HIPERTENSIÓN PORTAL,hipertension portal,diagnosis,K,True,D,Hipertensión portal
V270,recien nacido,recien nacido,recien nacido,diagnosis,V,True,D,Conductor de motocicleta lesionado en colisión con objeto fijo o estacionado en un accidente no de tráfico
BW03ZZZ,Radiografía de Tórax,Radiografía de Tórax,radiografia de torax,diagnosis,B,True,P,Radiografía simple de tórax
O700,Desgarro Iº,Desgarro Iº,desgarro iº,diagnosis,O,True,D,Desgarro perineal de primer grado en el parto
4011,PAAF ganglio,PAAF ganglio,paaf ganglio,procedure,4,False,,
J90,Derrame pleural Izq,Derrame pleural Izq,derrame pleural izq,diagnosis,J,True,D,"Derrame pleural, no clasificable bajo otro concepto"
K56690,suboclusión intestinal,suboclusión intestinal,suboclusion intestinal,diagnosis,K,True,D,Otra obstrucción intestinal parcial
Z886,Alergia a ibuprofeno,Alergia a ibuprofeno,alergia a ibuprofeno,diagnosis,Z,True,D,Estado de alergia a analgésico
Z3A36,obesidad parto,obesidad parto,obesidad parto,diagnosis,Z,True,D,36 semanas de gestación
Q642,Q64.2,Q64.2,q64.2,diagnosis,Q,True,D,Válvulas congénitas de la uretra posterior
V270,niño,niño,nino,diagnosis,V,True,D,Conductor de motocicleta lesionado en colisión con objeto fijo o estacionado en un accidente no de tráfico
4270,tpsv,tpsv,tpsv,procedure,4,False,,
Z3A39,39+0 semanas,39+0 semanas,39+0 semanas,diagnosis,Z,True,D,39 semanas de gestación
10D07Z6,Vaccum,Vaccum,vaccum,procedure,1,True,P,"Extracción de productos de la concepción, vacuum, abordaje orificio natural o artificial"
1965,mtx ganglio inguinal,mtx ganglio inguinal,mtx ganglio inguinal,procedure,1,False,,
S52022A,fractura de olécranon izquierdo,fractura de olécranon izquierdo,fractura de olecranon izquierdo,diagnosis,S,True,D,"Fractura desplazada de olécranon sin extensión intraarticular de cúbito izquierdo, contacto inicial por fractura cerrada"
BQ07ZZZ,Radiografia de rodillas,Radiografia de rodillas,radiografia de rodillas,diagnosis,B,True,P,"Radiografía simple de rodilla, derecha"
F32A,Depresión,Depresión,depresion,diagnosis,F,True,D,"Depresión, no especificada"
6918,piel atopica,piel atopica,piel atopica,procedure,6,False,,
R197,Deposiciones diarréicas,Deposiciones diarréicas,deposiciones diarreicas,diagnosis,R,True,D,"Diarrea, no especificada"
I071,IT,IT,it,diagnosis,I,True,D,Insuficiencia tricuspídea reumática
E039,HIPOTIROÏDISME part,HIPOTIROÏDISME part,hipotiroidisme part,diagnosis,E,True,D,"Hipotiroidismo, no especificado"
E119,"Diabetes tipo II,","Diabetes tipo II,","diabetes tipo ii,",diagnosis,E,True,D,Diabetes mellitus tipo 2 sin complicaciones
J984,quistes pulmonares,quistes pulmonares,quistes pulmonares,diagnosis,J,True,D,Otros trastornos del pulmón
C7971,METÁSTASIS SUPRARRENAL derecha,METÁSTASIS SUPRARRENAL derecha,metastasis suprarrenal derecha,diagnosis,C,True,D,Neoplasia maligna secundaria de glándula suprarrenal derecha
9921,Antibioticoteràpia,Antibioticoteràpia,antibioticoterapia,procedure,9,False,,
