Code,Literal,Code_clean,Literal_basic,in_icd_reference,D_P,Description
C9000,mieloma múltiple,C9000,mieloma múltiple,True,D,"Mieloma múltiple, sin haber alcanzado remisión"
51919,Hiperrreactividad bronquial,51919,Hiperrreactividad bronquial,False,,
0UT54ZZ,ANEXECTOMÍA DERECHA LAPAROSCOPICA,0UT54ZZ,ANEXECTOMÍA DERECHA LAPAROSCOPICA,True,P,"Resección de trompa de falopio, derecha, abordaje endoscópico percutáneo"
Z603,barrera idiomatica,Z603,barrera idiomatica,True,D,Dificultades por aculturación
M303,Enfermedad de Kawasaki,M303,Enfermedad de Kawasaki,True,D,Síndrome mucocutáneo linfonodular [Kawasaki]
57142,Hepatitis autoinmune,57142,Hepatitis autoinmune,False,,
1539,ADK colon,1539,ADK colon,False,,
BB4BZZZ,Ecografía de tórax,BB4BZZZ,Ecografía de tórax,True,P,Ecografía de pleura
9839,Ingesta de cáustico,9839,Ingesta de cáustico,False,,
65101,parto gemelar,65101,parto gemelar,False,,
K5900,estrenyiment,K5900,estrenyiment,True,D,"Estreñimiento, no especificado"
8878,eco tv,8878,eco tv,False,,
65611,Se administra gammaglobulina anti-D.,65611,Se administra gammaglobulina anti-D.,False,,
B343,Parvovirus B19,B343,Parvovirus B19,True,D,"Infección debida a Parvovirus, no especificada"
8878,ecoTV,8878,ecoTV,False,,
K1379,dolor boca,K1379,dolor boca,True,D,Otras lesiones de mucosa oral
O34219,Cesària anterior,O34219,Cesària anterior,True,D,Atención materna por cicatriz de tipo no especificado de cesárea anterior
B020ZZZ,TAC cráneo,B020ZZZ,TAC cráneo,True,P,Tomografía computarizada (scanner tc) de cerebro
4525,colonoscopia biopsia,4525,colonoscopia biopsia,False,,
K561,Intussuscepció,K561,Intussuscepció,True,D,Invaginación
E162,hipoglicemia,E162,hipoglicemia,True,D,"Hipoglucemia, no especificada"
R4701,Mutismo,R4701,Mutismo,True,D,Afasia
0DB98ZX,Duodeno,0DB98ZX,Duodeno,True,P,"Escisión de duodeno, diagnóstico, abordaje orificio natural o artificial, endoscópico"
8774,pielografía retrógrada,8774,pielografía retrógrada,False,,
0U5C8ZZ,Conización con asa de diatermia,0U5C8ZZ,Conización con asa de diatermia,True,P,"Destrucción de cérvix, abordaje orificio natural o artificial, endoscópico"
F419,Ansiedad parto,F419,Ansiedad parto,True,D,"Trastorno de ansiedad, no especificado"
81342,Fractura radi distal,81342,Fractura radi distal,False,,
Z370,Recién Nacido,Z370,Recién Nacido,True,D,Nacido vivo único
O925,inhibicion de lactanica,O925,inhibicion de lactanica,True,D,Lactancia suprimida
K449,Hernia de hiatus,K449,Hernia de hiatus,True,D,Hernia diafragmática sin obstrucción ni gangrena
E890,Hipotiroidismo tras tiroidectomía,E890,Hipotiroidismo tras tiroidectomía,True,D,Hipotiroidismo posprocedimiento
I080,Valvulopatía mitroaórtica,I080,Valvulopatía mitroaórtica,True,D,Trastornos reumáticos tanto de la válvula mitral como de la aórtica
BT23ZZZ,TC renal,BT23ZZZ,TC renal,True,P,"Tomografía computarizada (scanner tc) de riñones, bilateral"
I482,FA crónica,I482,FA crónica,True,D,Fibrilación auricular crónica
V4577,ANEXECTOmIA,V4577,ANEXECTOmIA,False,,
4A10X4Z,video EEG,4A10X4Z,video EEG,True,P,"Monitorización de actividad eléctrica, nervioso central, abordaje externo"
0UJD8ZZ,Histeroscopia,0UJD8ZZ,Histeroscopia,True,P,"Inspección de útero y cérvix, abordaje orificio natural o artificial, endoscópico"
J9600,insufiencia respiratoria aguda,J9600,insufiencia respiratoria aguda,True,D,Insuficiencia respiratoria aguda no especificada si con hipoxia o con hipercapnia
Z6741,"Grupo sanguíneo 0, Rh: Negativo",Z6741,"Grupo sanguíneo 0, Rh: Negativo",True,D,"Grupo sanguíneo O, Rh negativo"
H61031,H61.031,H61031,H61.031,True,D,Condritis del oído externo derecho
O9952,Rinitis alergica parto,O9952,Rinitis alergica parto,True,D,Enfermedades del aparato respiratorio que complican el parto
D649,anemia 2t,D649,anemia 2t,True,D,"Anemia, no especificada"
4660,bronquitisleve,4660,bronquitisleve,False,,
D649,Anemia 3t,D649,Anemia 3t,True,D,"Anemia, no especificada"
4275,parada cardiaca,4275,parada cardiaca,False,,
5342,Hernia umbilical lap,5342,Hernia umbilical lap,False,,
6318,huevo huero.,6318,huevo huero.,False,,
64241,preeclampsia leve,64241,preeclampsia leve,False,,
Z6711,: A NEGATIVO,Z6711,: A NEGATIVO,True,D,"Grupo sanguíneo A, Rh negativo"
07999,Quadre viral,07999,Quadre viral,False,,
G20,Síndrome parkinsoniano,G20,Síndrome parkinsoniano,True,D,Enfermedad de Parkinson
G40822,Sd de West,G40822,Sd de West,True,D,"Espasmos epilépticos, no intratables, sin estado de mal epiléptico"
6191,fístula rectovaginal,6191,fístula rectovaginal,False,,
O24420,DGNID,O24420,DGNID,True,D,"Diabetes mellitus gestacional en el parto, con control dietético"
3E033NZ,ANALGÉSICO,3E033NZ,ANALGÉSICO,True,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo"
Z884,Alergia lidocaína,Z884,Alergia lidocaína,True,D,Estado de alergia a anestésico
Z85038,Historia de Neoplasia maligna de colon,Z85038,Historia de Neoplasia maligna de colon,True,D,Historia personal de otra neoplasia maligna de intestino grueso
O26873,cervix corto parto,O26873,cervix corto parto,True,D,"Acortamiento del cuello uterino, tercer trimestre"
0UT10ZZ,OOFORECTOMÍA IZQUIERDA,0UT10ZZ,OOFORECTOMÍA IZQUIERDA,True,P,"Resección de ovario, izquierdo, abordaje abierto"
G43909,Migrañas PARTO,G43909,Migrañas PARTO,True,D,"Migraña, no especificada, no intratable, sin estatus migrañoso"
Z9010,mastectomía,Z9010,mastectomía,True,D,Ausencia adquirida de mama y pezón no especificados
65421,cesarea anterior,65421,cesarea anterior,False,,
0USG0ZZ,RICHTER,0USG0ZZ,RICHTER,True,P,"Reposición de vagina, abordaje abierto"
6266,Metrorragia abundante,6266,Metrorragia abundante,False,,
D849,Inmunodeficiencia,D849,Inmunodeficiencia,True,D,"Inmunodeficiencia, no especificada"
H9110,Presbiacusia,H9110,Presbiacusia,True,D,"Presbiacusia, oído no especificado"
65421,Cesarea anterior,65421,Cesarea anterior,False,,
1963,MTX AXILAR,1963,MTX AXILAR,False,,
BW20ZZZ,TC Abdominal,BW20ZZZ,TC Abdominal,True,P,Tomografía computarizada (scanner tc) de abdomen
E9331,quimioterápico,E9331,quimioterápico,False,,
V5811,tratamiento quimoterápico,V5811,tratamiento quimoterápico,False,,
I110,hta icc,I110,hta icc,True,D,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca
O9952,Rinitis Alergica parto,O9952,Rinitis Alergica parto,True,D,Enfermedades del aparato respiratorio que complican el parto
D351,ADENOMA PARATIROIDEO,D351,ADENOMA PARATIROIDEO,True,D,Neoplasia benigna de glándula paratiroides
3E1K78Z,lavados vesical,3E1K78Z,lavados vesical,True,P,"Irrigación de tracto genitourinario, con sustancia de irrigación, abordaje orificio natural o artificial"
7483,Traqueomalacia congenita,7483,Traqueomalacia congenita,False,,
J210,bronquiolitis VRS,J210,bronquiolitis VRS,True,D,Bronquiolitis aguda por virus sincitial respiratorio
0UT24ZZ,ANEXECTOMIA BILATERAL lap,0UT24ZZ,ANEXECTOMIA BILATERAL lap,True,P,"Resección de ovarios, bilateral, abordaje endoscópico percutáneo"
0DNW0ZZ,adhesiolisis,0DNW0ZZ,adhesiolisis,True,P,"Liberación de peritoneo, abordaje abierto"
Z593,Paciente institucionalizada,Z593,Paciente institucionalizada,True,D,Problemas relacionados con la vida en una institución residencial
D682,déficit factor XIII parto,D682,déficit factor XIII parto,True,D,Déficits hereditarios de otros factores de la coagulación
G40411,G40.411,G40411,G40.411,True,D,"Epilepsia y otros síndromes epilépticos generalizados, intratables, con estado de mal epiléptico"
0HBU0ZX,biopsia mama izquierda,0HBU0ZX,biopsia mama izquierda,True,P,"Escisión de mama, izquierda, diagnóstico, abordaje abierto"
O9972,Urticaria crónica parto,O9972,Urticaria crónica parto,True,D,Enfermedades de la piel y el tejido subcutáneo que complican el parto
O34219,cesárea anter,O34219,cesárea anter,True,D,Atención materna por cicatriz de tipo no especificado de cesárea anterior
E282,hipotiroidsimo part,E282,hipotiroidsimo part,True,D,Síndrome de ovario poliquístico
3E0337Z,sueroterapia,3E0337Z,sueroterapia,True,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo"
J181,pneumònia bilobar,J181,pneumònia bilobar,True,D,"Neumonía lobar, microorganismo no especificado"
Z91048,v1509,Z91048,v1509,True,D,Estado de alergia a otras sustancias no medicinales
Z91040,Alergia al Látex,Z91040,Alergia al Látex,True,D,Estado de alergia al látex
O9842,Hepatitis B parto,O9842,Hepatitis B parto,True,D,Hepatitis viral que complica el parto
O76,bradicardia de expulsivo,O76,bradicardia de expulsivo,True,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto
N750,quiste de bartholino sobreinfectado,N750,quiste de bartholino sobreinfectado,True,D,Quiste de la glándula de Bartolino
C541,Carcinoma endometrioide,C541,Carcinoma endometrioide,True,D,Neoplasia maligna de endometrio
8879,Ecografía testicular,8879,Ecografía testicular,False,,
O9972,dermatitis atópica part,O9972,dermatitis atópica part,True,D,Enfermedades de la piel y el tejido subcutáneo que complican el parto
0UT74ZZ,Doble anexectomia laparocopia,0UT74ZZ,Doble anexectomia laparocopia,True,P,"Resección de trompas de falopio, bilateral, abordaje endoscópico percutáneo"
3E03329,antiobiótico,3E03329,antiobiótico,True,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo"
G253,Mioclonias,G253,Mioclonias,True,D,Mioclonía
65961,35 años,65961,35 años,False,,
2809,Anemia ferropènica,2809,Anemia ferropènica,False,,
9929,tratamiento analgésico,9929,tratamiento analgésico,False,,
9915,nutrición parenteral,9915,nutrición parenteral,False,,
L209,Dermatitis atópica,L209,Dermatitis atópica,True,D,"Dermatitis atópica, no especificada"
Z3A27,itu 2t,Z3A27,itu 2t,True,D,27 semanas de gestación
Z6710,A positivo,Z6710,A positivo,True,D,"Grupo sanguíneo A, Rh positivo"
78701,nauseas y vomitos,78701,nauseas y vomitos,False,,
Z6710,Grupo sanguíneo: A +.,Z6710,Grupo sanguíneo: A +.,True,D,"Grupo sanguíneo A, Rh positivo"
5424,Biopsia peritoneal lap,5424,Biopsia peritoneal lap,False,,
V1501,cacahuete,V1501,cacahuete,False,,
O6982X0,circular en mano,O6982X0,circular en mano,True,D,"Trabajo de parto y parto complicados por otros enredos del cordón, sin compresión, no aplicable o no especificado"
0UT74ZZ,SALPINGUECTOMÍA BILATERAL lap,0UT74ZZ,SALPINGUECTOMÍA BILATERAL lap,True,P,"Resección de trompas de falopio, bilateral, abordaje endoscópico percutáneo"
Z228,RUBEOLA NO INMUNE,Z228,RUBEOLA NO INMUNE,True,D,Portador de otras enfermedades infecciosas
0UT20ZZ,doble anexectomia,0UT20ZZ,doble anexectomia,True,P,"Resección de ovarios, bilateral, abordaje abierto"
L639,alopecia areata,L639,alopecia areata,True,D,"Alopecia areata, no especificada"
0417,Pseudomonas aeruginosa,0417,Pseudomonas aeruginosa,False,,
91800,osteoma,91800,osteoma,False,,
K831,Colestasis parto,K831,Colestasis parto,True,D,Obstrucción de conducto biliar
N939,sangrado vaginal,N939,sangrado vaginal,True,D,"Hemorragia vaginal y uterina anormal, no especificada"
2521,hipoparatiroidismo secundario,2521,hipoparatiroidismo secundario,False,,
V1006,Intervenida de neoplasia de recto,V1006,Intervenida de neoplasia de recto,False,,
75312,POLIQUISTOSIS RENAL,75312,POLIQUISTOSIS RENAL,False,,
O714,desgarro vaginal,O714,desgarro vaginal,True,D,"Desgarro vaginal obstétrico alto, único"
87344,ferida menton,87344,ferida menton,False,,
8521,tumorectomia,8521,tumorectomia,False,,
R55,síncopes,R55,síncopes,True,D,Síncope y colapso
8857,coronariografía,8857,coronariografía,False,,
725,Polimialgia reumática,725,Polimialgia reumática,False,,
Z86711,historia TEP,Z86711,historia TEP,True,D,Historia personal de embolia pulmonar
7850,taquicardias,7850,taquicardias,False,,
E039,Hipotirodismo central,E039,Hipotirodismo central,True,D,"Hipotiroidismo, no especificado"
O99344,Depresion parto,O99344,Depresion parto,True,D,Otros trastornos mentales que complican el parto
O721,sangrado posparto,O721,sangrado posparto,True,D,Otras hemorragias del posparto inmediato
4A1HXCZ,MF,4A1HXCZ,MF,True,P,"Monitorización de frecuencia, productos de la concepción, cardiaco, abordaje externo"
V4577,DA,V4577,DA,False,,
O99343,ansiedad 3t,O99343,ansiedad 3t,True,D,"Otros trastornos mentales que complican el embarazo, tercer trimestre"
0PSL34Z,Rcfi cubito izquierdo,0PSL34Z,Rcfi cubito izquierdo,True,P,"Reposición de cúbito, izquierdo con dispositivo de fijación interna, abordaje percutáneo"
6201,cuerpo lúteo hemorrágico,6201,cuerpo lúteo hemorrágico,False,,
G7111,Steinert,G7111,Steinert,True,D,Distrofia muscular miotónica
64511,gcp,64511,gcp,False,,
Z87738,v13.67,Z87738,v13.67,True,D,Historia personal de otras malformaciones congénitas especificadas (corregidas) del aparato digestivo
O411430,PLACENTITIS,O411430,PLACENTITIS,True,D,"Placentitis, tercer trimestre, no aplicable o no especificado"
O99891,MIOPIA MAGNA PARTO,O99891,MIOPIA MAGNA PARTO,True,D,Otras enfermedades y afecciones especificadas que complican el embarazo
F341,Depresión-ansiedad,F341,Depresión-ansiedad,True,D,Trastorno distímico
73300,osteoporótico,73300,osteoporótico,False,,
Z91048,alergia gat,Z91048,alergia gat,True,D,Estado de alergia a otras sustancias no medicinales
65101,gestación gemelar part,65101,gestación gemelar part,False,,
04102,estreptococo agalactiae,04102,estreptococo agalactiae,False,,
D259,Leiomiomas uterinos,D259,Leiomiomas uterinos,True,D,"Leiomioma de útero, no especificado"
Z6740,Grupo 0 Rh positivo,Z6740,Grupo 0 Rh positivo,True,D,"Grupo sanguíneo O, Rh positivo"
BW03ZZZ,Rx de torax,BW03ZZZ,Rx de torax,True,P,Radiografía simple de tórax
0UT90ZZ,histerectomía total,0UT90ZZ,histerectomía total,True,P,"Resección de útero, abordaje abierto"
0HBT0ZZ,tumorecTOMÍA MAMA DERECHA,0HBT0ZZ,tumorecTOMÍA MAMA DERECHA,True,P,"Escisión de mama, derecha, abordaje abierto"
8876,Ecografia abbdominal,8876,Ecografia abbdominal,False,,
Z370,COVID part,Z370,COVID part,True,D,Nacido vivo único
35800,miastenia gravis,35800,miastenia gravis,False,,
BW24ZZZ,TC toracoabdominal,BW24ZZZ,TC toracoabdominal,True,P,Tomografía computarizada (scanner tc) de tórax y abdomen
04189,Gardenella,04189,Gardenella,False,,
2859,anemia anteparto,2859,anemia anteparto,False,,
9904,Hematíes,9904,Hematíes,False,,
0H9T0ZZ,DRENAJE mama derecha,0H9T0ZZ,DRENAJE mama derecha,True,P,"Drenaje en mama, derecha, abordaje abierto"
8622,Friedrich,8622,Friedrich,False,,
Z170,re +,Z170,re +,True,D,Estado de receptor de estrógeno positivo [RE+]
K769,Hepatopatía,K769,Hepatopatía,True,D,"Enfermedad hepática, no especificada"
Z880,V14.0,Z880,V14.0,True,D,Estado de alergia a penicilina
5849,ira,5849,ira,False,,
Z880,Alérgica a: Penicilina,Z880,Alérgica a: Penicilina,True,D,Estado de alergia a penicilina
Z880,ALÉRGICA A PENICILINA,Z880,ALÉRGICA A PENICILINA,True,D,Estado de alergia a penicilina
I2720,Hipertensión pulmonar moderada,I2720,Hipertensión pulmonar moderada,True,D,"Hipertensión pulmonar, no especificada"
6266,metrorragia,6266,metrorragia,False,,
BW2FZZZ,TAC de cuello,BW2FZZZ,TAC de cuello,True,P,Tomografía computarizada (scanner tc) de cuello
H9190,Hipoacúsia,H9190,Hipoacúsia,True,D,"Pérdida de audición no especificada, oído no especificado"
O9942,Taquicardia parto,O9942,Taquicardia parto,True,D,Enfermedades del aparato circulatorio que complican el parto
Z8041,Hermana: Cancer de ovario,Z8041,Hermana: Cancer de ovario,True,D,Historia familiar de neoplasia maligna de ovario
0KQM0ZZ,desgarro II grado,0KQM0ZZ,desgarro II grado,True,P,"Reparación de músculo perineo, abordaje abierto"
V140,Alérgica a Penicilina,V140,Alérgica a Penicilina,True,D,Conductor de vehículo a pedales lesionado en colisión con vehículo de transporte pesado o autobús en un accidente no de tráfico
73014,osteomielitis crónica mano,73014,osteomielitis crónica mano,False,,
J309,rinitis alérgica part,J309,rinitis alérgica part,True,D,"Rinitis alérgica, no especificada"
O622,dinámica uterina,O622,dinámica uterina,True,D,Otros tipos de inercia uterina
O26873,Cérvix corto,O26873,Cérvix corto,True,D,"Acortamiento del cuello uterino, tercer trimestre"
85003,Carcinoma infiltrante,85003,Carcinoma infiltrante,False,,
40390,hta + ERC 4,40390,hta + ERC 4,False,,
0H9T0ZZ,DRENAJE DE ABSCESO DE MAMA DERECHA,0H9T0ZZ,DRENAJE DE ABSCESO DE MAMA DERECHA,True,P,"Drenaje en mama, derecha, abordaje abierto"
V1551,h FX,V1551,h FX,False,,
0DJD8ZZ,Fibrocolonoscopia,0DJD8ZZ,Fibrocolonoscopia,True,P,"Inspección de tracto intestinal inferior, abordaje orificio natural o artificial, endoscópico"
K5900,Estreñimiento pertinaz,K5900,Estreñimiento pertinaz,True,D,"Estreñimiento, no especificado"
M5412,Radiculopatía cervical,M5412,Radiculopatía cervical,True,D,"Radiculopatía, región cervical"
3E0333Z,Dexametasona,3E0333Z,Dexametasona,True,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo"
T7611XA,Maltrato físico,T7611XA,Maltrato físico,True,D,"Abuso físico de adultos, sospecha, contacto inicial"
D3502,Incidentaloma suprarrenal izquierdo,D3502,Incidentaloma suprarrenal izquierdo,True,D,Neoplasia benigna de glándula suprarrenal izquierda
G43909,Sinusitis parto,G43909,Sinusitis parto,True,D,"Migraña, no especificada, no intratable, sin estatus migrañoso"
66001,nalgas,66001,nalgas,False,,
5920,litiasis renales,5920,litiasis renales,False,,
Z3A38,38+6 semanas,Z3A38,38+6 semanas,True,D,38 semanas de gestación
O99284,Déficit vit B12 part,O99284,Déficit vit B12 part,True,D,"Enfermedades endocrinas, nutricionales y metabólicas que complican el parto"
65611,Gammaglobulina anti D,65611,Gammaglobulina anti D,False,,
O30043,Gestación gemelar bicorial/biamniótica,O30043,Gestación gemelar bicorial/biamniótica,True,D,"Embarazo gemelar dicoriónico/ diamniótico, tercer trimestre"
Q211,Comunicacion interauricular,Q211,Comunicacion interauricular,True,D,Comunicación interauricular
Z87442,Historia de LITIASIS RENAL,Z87442,Historia de LITIASIS RENAL,True,D,Historia personal de cálculos urinarios
64933,Mutación gen protrombina anteparto,64933,Mutación gen protrombina anteparto,False,,
Z370,feto vivo,Z370,feto vivo,True,D,Nacido vivo único
BN25ZZZ,TC facial,BN25ZZZ,TC facial,True,P,Tomografía computarizada (scanner tc) de huesos faciales
1987,M1 suprarrenal,1987,M1 suprarrenal,False,,
O9912,síndrome antifosfolípido parto,O9912,síndrome antifosfolípido parto,True,D,"Otras enfermedades de la sangre, órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo inmunitario que complican el parto"
Z6740,0 RH: positivo,Z6740,0 RH: positivo,True,D,"Grupo sanguíneo O, Rh positivo"
55090,hernia inguinal izquierda,55090,hernia inguinal izquierda,False,,
Z3A40,40+1 setmanes,Z3A40,40+1 setmanes,True,D,40 semanas de gestación
L518,Eritema multiforme,L518,Eritema multiforme,True,D,Otro tipo de eritema multiforme
0UT70ZZ,salpingectomia bilateral,0UT70ZZ,salpingectomia bilateral,True,P,"Resección de trompas de falopio, bilateral, abordaje abierto"
7033,reseccion vagina,7033,reseccion vagina,False,,
6822,celulitis abd,6822,celulitis abd,False,,
H8110,Vértigos paroxístico benigno,H8110,Vértigos paroxístico benigno,True,D,"Vértigo paroxístico benigno, oído no especificado"
0HTV0ZZ,MASTECTOMÍA BILATERAL,0HTV0ZZ,MASTECTOMÍA BILATERAL,True,P,"Resección de mama, bilateral, abordaje abierto"
V5861,anticoagulada,V5861,anticoagulada,False,,
V4581,bypass aortocoronario,V4581,bypass aortocoronario,False,,
Z3A40,40SG,Z3A40,40SG,True,D,40 semanas de gestación
BW03ZZZ,RX torax,BW03ZZZ,RX torax,True,P,Radiografía simple de tórax
F840,TEA,F840,TEA,True,D,Trastorno autista
O9912,von Willebrand parto,O9912,von Willebrand parto,True,D,"Otras enfermedades de la sangre, órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo inmunitario que complican el parto"
1985,M1 óseas,1985,M1 óseas,False,,
E785,HLP,E785,HLP,True,D,"Hiperlipidemia, no especificada"
O34219,CST,O34219,CST,True,D,Atención materna por cicatriz de tipo no especificado de cesárea anterior
8628,VAC,8628,VAC,False,,
2182,miomas subserosos,2182,miomas subserosos,False,,
8875,ECO,8875,ECO,False,,
O621,parto estacionado,O621,parto estacionado,True,D,Inercia uterina secundaria
G47419,Narcolepsia,G47419,Narcolepsia,True,D,Narcolepsia sin cataplejia
M1712,gonartrosis izquierda,M1712,gonartrosis izquierda,True,D,"Artrosis primaria unilateral, rodilla izquierda"
D271,FIBROMA OVÁRICO IZQUIERDO,D271,FIBROMA OVÁRICO IZQUIERDO,True,D,Neoplasia benigna de ovario izquierdo
0331,LCR,0331,LCR,False,,
Z370,RN,Z370,RN,True,D,Nacido vivo único
0UQGXZZ,Sutura vagina,0UQGXZZ,Sutura vagina,True,P,"Reparación de vagina, abordaje externo"
O9902,anemia parto,O9902,anemia parto,True,D,Anemia que complica el parto
E7410,E74.10,E7410,E74.10,True,D,"Trastorno del metabolismo de la fructosa, no especificado"
0VTB0ZZ,orquiectomia izquierda,0VTB0ZZ,orquiectomia izquierda,True,P,"Resección de testículo, izquierdo, abordaje abierto"
33510,Atrofia muscular espinal,33510,Atrofia muscular espinal,False,,
08RJ3JZ,Implante LIO od,08RJ3JZ,Implante LIO od,True,P,"Sustitución de cristalino, derecho, con sustituto sintético, abordaje percutáneo"
8819,Radiografia de abdomen,8819,Radiografia de abdomen,False,,
E8497,Hospital,E8497,Hospital,False,,
O4103X0,Anhidramnios,O4103X0,Anhidramnios,True,D,"Oligohidramnios, tercer trimestre, no aplicable o no especificado"
32723,SAHos,32723,SAHos,False,,
04181,Ureaplasma Urealyticum,04181,Ureaplasma Urealyticum,False,,
0UT94ZZ,HISTERECTOMÍA laPAROSCÓPICA,0UT94ZZ,HISTERECTOMÍA laPAROSCÓPICA,True,P,"Resección de útero, abordaje endoscópico percutáneo"
F1020,cannabis part,F1020,cannabis part,True,D,"Dependencia de alcohol, sin complicaciones"
C50911,NEOPLASIA DE MAMA BILATERAL,C50911,NEOPLASIA DE MAMA BILATERAL,True,D,Neoplasia maligna de localización no especificada de mama femenina derecha
O721,hemorragia postparto,O721,hemorragia postparto,True,D,Otras hemorragias del posparto inmediato
V8801,histerectomía,V8801,histerectomía,False,,
I129,Hipertensión Enfermedad renal crónica,I129,Hipertensión Enfermedad renal crónica,True,D,Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada
09950ZZ,miringotomía bilateral,09950ZZ,miringotomía bilateral,True,P,"Drenaje en oído medio, derecho, abordaje abierto"
Z85118,historia Adenocarcinoma de pulmón,Z85118,historia Adenocarcinoma de pulmón,True,D,Historia personal de otra neoplasia maligna de bronquios y pulmón
Z6741,O Rh NEGATIVO,Z6741,O Rh NEGATIVO,True,D,"Grupo sanguíneo O, Rh negativo"
G3184,deterioro cognitivo leve,G3184,deterioro cognitivo leve,True,D,Deterioro cognitivo leve de etiología incierta o desconocida
25080,Hipoglucemias en dm,25080,Hipoglucemias en dm,False,,
3E033GC,furosemida,3E033GC,furosemida,True,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo"
M5416,radiculopatía lumbar,M5416,radiculopatía lumbar,True,D,"Radiculopatía, región lumbar"
N390,itu anteparto,N390,itu anteparto,True,D,"Infección de tracto urinario, localización no especificada"
65221,podalica,65221,podalica,False,,
0VT04ZZ,cistectomía radical laparoscópico,0VT04ZZ,cistectomía radical laparoscópico,True,P,"Resección de próstata, abordaje endoscópico percutáneo"
65813,Rotura prematura de membranas anteparto,65813,Rotura prematura de membranas anteparto,False,,
79029,PreDiabetes,79029,PreDiabetes,False,,
57140,hepatitis cronica,57140,hepatitis cronica,False,,
Z886,Alérgica a AAS,Z886,Alérgica a AAS,True,D,Estado de alergia a analgésico
D472,gammapatía monoclonal,D472,gammapatía monoclonal,True,D,Gammapatía monoclonal
BT1FYZZ,Pielografía,BT1FYZZ,Pielografía,True,P,"Radioscopia de riñón, uréter y vejiga, lado izquierdo, con contraste, otro contraste"
Z880,Alérgica a la Penicilina,Z880,Alérgica a la Penicilina,True,D,Estado de alergia a penicilina
Z6720,GRUP: B +,Z6720,GRUP: B +,True,D,"Grupo sanguíneo B, Rh positivo"
Z6741,O rh negativo,Z6741,O rh negativo,True,D,"Grupo sanguíneo O, Rh negativo"
I130,HTA IRC icc,I130,HTA IRC icc,True,D,Enfermedad cardiaca y renal crónica hipertensiva con insuficiencia cardiaca y enfermedad renal crónica estadios 1 a 4 o enfermedad renal crónica no especificada
O322XX2,transversa 2,O322XX2,transversa 2,True,D,"Atención materna por posición transversa y oblicua, feto 2"
K2940,GASTRITIS CRÓNICA ATRÓFICA,K2940,GASTRITIS CRÓNICA ATRÓFICA,True,D,Gastritis crónica atrófica sin hemorragia
3E0333Z,corticoterapia,3E0333Z,corticoterapia,True,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo"
0TJ98ZZ,ureteroscopia,0TJ98ZZ,ureteroscopia,True,P,"Inspección de uréter, abordaje orificio natural o artificial, endoscópico"
Z3A24,24 semanas,Z3A24,24 semanas,True,D,24 semanas de gestación
R197,diarrees,R197,diarrees,True,D,"Diarrea, no especificada"
544,Omentectomía,544,Omentectomía,False,,
7309,Amniorrexis artificial,7309,Amniorrexis artificial,False,,
5589,Gastroenteritis,5589,Gastroenteritis,False,,
N950,Metrorragias postmenopáusicas,N950,Metrorragias postmenopáusicas,True,D,Hemorragia posmenopáusica
E669,obesidad,E669,obesidad,True,D,"Obesidad, no especificada"
V141,Alergia a la amoxicilina,V141,Alergia a la amoxicilina,True,D,Pasajero de vehículo a pedales lesionado en colisión con vehículo de transporte pesado o autobús en un accidente no de tráfico
1940,Neuroblastoma,1940,Neuroblastoma,False,,
Z7952,esteroides,Z7952,esteroides,True,D,Uso prolongado (actual) de esteroides sistémicos
S52502A,FRACTURA DE RADIO DISTAL IZQUIERDO,S52502A,FRACTURA DE RADIO DISTAL IZQUIERDO,True,D,"Fractura no especificada de extremo inferior de radio izquierdo, contacto inicial por fractura cerrada"
3491,liquido pleural,3491,liquido pleural,False,,
N10,PNA 3t,N10,PNA 3t,True,D,Pielonefritis aguda
Z8549,Historia neoplasia pene,Z8549,Historia neoplasia pene,True,D,Historia personal de neoplasia maligna de otros órganos genitales masculinos
138,Poliomielitis,138,Poliomielitis,False,,
Z3A20,anemia 2t,Z3A20,anemia 2t,True,D,20 semanas de gestación
R509,fiebre prolongada,R509,fiebre prolongada,True,D,"Fiebre, no especificada"
BW3GZZZ,RM DE PELVIS,BW3GZZZ,RM DE PELVIS,True,P,Imagen por resonancia magnética (rm) de región pélvica
34550,crisis comicial parcial,34550,crisis comicial parcial,False,,
04149,e.coli,04149,e.coli,False,,
L74512,Hiperhidrosis palmo-plantar,L74512,Hiperhidrosis palmo-plantar,True,D,Hiperhidrosis primaria focal de las palmas de las manos
I259,cardiopatia isquémica,I259,cardiopatia isquémica,True,D,"Enfermedad isquémica crónica cardiaca, no especificada"
